id;muscle_group_en;muscle_group_fr
de84c6db-6663-4d72-8c91-ecc95bb42aa8;Legs;Jambes
deed6a0f-dc64-4c9e-8331-dea9052aaf96;Arms;Bras
dfe1931b-af1f-461e-b5fd-f0431e341f98;Chest;Pectoraux
e0f20ec7-4bc9-4d37-a254-d0269bdaa8d8;Back;Dos
e14dd6c5-1645-4faf-ae59-b8979c6606bf;Legs;Jambes
e1f61721-6a5d-460e-9b2f-6226d10e8b0e;Back;Dos
e411ed03-2879-4a24-8eb0-5ba3ac164b98;Core;Abdos
e6eda087-2e35-4dd2-83c4-e584322041d7;Back;Dos
e8b01354-4d83-4c5c-8f80-c046252a5fc6;Legs;Jambes
e90f1801-3362-4b96-b345-6b8f7c4e3138;Core;Abdos
e92de561-bb58-405c-940b-ac4f40fad43c;Legs;Jambes
e9a0f672-9654-43bc-98e7-a94bf65bc177;Core;Abdos
edf8bdb9-6db9-4155-90f2-4be2fbde46fd;Chest;Pectoraux
ee5f1f69-71e9-432d-8fd4-0e3d25195c40;Arms;Bras
ef58996b-4406-452f-9a80-08d1d3fbfffa;Legs;Jambes
effdf85e-38a1-46a0-a0ab-6b97cb96e352;Back;Dos
f0b7e1ea-0c52-4231-9feb-4ac64aa12222;Full body;Corps complet
f0d6879e-b3c4-42c7-8388-6a01ea5b1b8e;Back;Dos
f11d7276-9f6e-482b-b6f8-2b2acd376346;Shoulders;Épaules
f130e61f-ca12-4a0a-91ca-62868c36009d;Core;Abdos
f1407cef-e88c-430b-aeca-7019e51eb30f;Full body;Corps complet
f19d5540-d2dd-4104-97f1-76ca70d284b8;Core;Abdos
f1a970c8-bdcf-474a-8026-1bf4000f1e39;Legs;Jambes
f2161f07-5d34-4abe-aca7-1d990a7a6b6c;Full body;Corps complet
f2fc4200-2d9b-45f3-95c1-2cd699431e10;Full body;Corps complet
f370d97c-4876-41d9-86f5-59fced0c4b53;Legs;Jambes
f66af7f7-0387-416f-b1d3-9528a7d49e63;Chest;Pectoraux
f7f35198-8095-4ff3-ae66-5d93673bd6d2;Chest;Pectoraux
f892fadf-d816-4a1b-b8ef-09f9654db359;Chest;Pectoraux
f905517b-bb1b-456b-8a28-57b44b65a172;Legs;Jambes
f9170e95-c867-4ca3-b3a0-00565bba4896;Legs;Jambes
f9b88317-b57d-45c5-812c-91652ffa7be7;Legs;Jambes
f9d59281-2489-4130-85b1-19d897d7f229;Back;Dos
faa50443-874b-49ee-93e6-e7c3cc5e534a;Back;Dos
fb542932-3c43-4159-8a2b-2a9363b4ad87;Back;Dos
fbf9966a-8317-48a2-8555-2f9c55be75f5;Arms;Bras
fc9d28bf-8dab-4bd7-a40a-228075c1de7d;Shoulders;Épaules
fd1cfc2f-cc21-4599-824e-8e10961c7f4d;Chest;Pectoraux
fd1f1a57-3390-4602-bdb1-71818c3d3c26;Back;Dos
fd6699cc-14f0-4c7e-8a13-7a9c2a1a36cf;Arms;Bras
fd8d7c24-d9bd-44cd-832c-90d3b128d56d;Legs;Jambes
fde427a6-205c-46fc-a5fa-d35ddef9af65;Legs;Jambes
fe974cb8-d7b3-47a5-bf6a-a405ae7e5074;Shoulders;Épaules
fef83da3-ed05-4a4a-8131-a0febf913d77;Legs;Jambes
ff173b16-bd57-4d93-a5d3-aca72d993243;Arms;Bras
ff54c257-c046-49e6-9666-c0cf267ee033;Chest;Pectoraux
ffba3c4c-5c2c-4c2e-b2c8-816b1bd1068b;Shoulders;Épaules
